Symbol,Symbol,Security,GICS_Sector,GICS_Sub_Industry,latestPrice,lastweekPrice,week52High,pct_change1D,pct_change1W,pct_changeFrom1YHigh
A,A,Agilent Technologies Inc,Health Care,Health Care Equipment,83.17,82.56,90.64,-0.01945,0.007388565891472965,-0.08241394527802293
AAL,AAL,American Airlines Group,Industrials,Airlines,28.395,26.84,37.17,0.00336,0.057935916542473986,-0.23607748184019373
AAP,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,132.93,131.75,182.56,-0.01072,0.008956356736242954,-0.27185582822085885
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320.03,309.51,327.85,-0.01359,0.03398920874931344,-0.023852371511362103
ABBV,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,92.29,81.02,92.29,0.05861,0.13910145643051108,0.0
ABC,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,91.94,85.56,94.75,-0.00584,0.07456755493221134,-0.02965699208443273
ABMD,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,186.92,186.29,364.31,-0.04638,0.003381824037790526,-0.48692047981114983
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,87.87,87.14,92.45,-0.01788,0.008377323846683549,-0.04954029204975663
ACN,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,211.58,205.21,214.46,-0.01205,0.031041372252814226,-0.013429077683484114
ADBE,ADBE,Adobe Systems Inc,Information Technology,Application Software,366.12,351.14,374.48,-0.00365,0.04266104687589012,-0.022324289681691978
ADI,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,112.29,109.75,124.79,-0.03023,0.023143507972665178,-0.10016828271496114
ADM,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,45.71,44.76,47.2,-0.00587,0.02122430741733705,-0.03156779661016951
ADP,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,179.15,171.39,180.47,-0.00616,0.04527685395880754,-0.007314235052917395
ADS,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,105.92,102.79,182.95,-0.00545,0.0304504329214903,-0.42104400109319484
ADSK,ADSK,Autodesk Inc.,Information Technology,Application Software,207.04,196.85,207.19,0.00505,0.051765303530607154,-0.0007239731647280534
AEE,AEE,Ameren Corp,Utilities,Multi-Utilities,83.6,82.05,83.6,0.00517,0.018890920170627545,0.0
AEP,AEP,American Electric Power,Utilities,Electric Utilities,101.34,104.22,104.97,-0.00207,-0.02763385146804831,-0.03458130894541289
AES,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,20.5,19.86,20.91,-0.00389,0.03222557905337364,-0.019607843137254943
AFL,AFL,AFLAC Inc,Financials,Life & Health Insurance,52.93,51.57,57.18,0.0036,0.02637192165987967,-0.07432668765302552
AGN,AGN,"Allergan, plc",Health Care,Pharmaceuticals,197.05,186.64,197.05,0.02162,0.055775825117874156,0.0
AIG,AIG,American International Group,Financials,Property & Casualty Insurance,53.46,50.26,58.66,0.00094,0.06366892160764026,-0.08864643709512443
AIV,AIV,Apartment Investment & Management,Real Estate,Residential REITs,53.37,52.71,55.49,-0.00224,0.01252134319863396,-0.03820508199675621
AIZ,AIZ,Assurant,Financials,Multi-line Insurance,136.36,130.56,137.83,0.00051,0.044424019607843146,-0.010665312341289979
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,104.93,102.57,105.67,-0.00181,0.023008677001072675,-0.0070029336613985915
AKAM,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,96.095,93.35,97.75,-0.00882,0.02940546331012328,-0.01693094629156011
ALB,ALB,Albemarle Corp,Materials,Specialty Chemicals,82.54,80.28,93.14,-0.05072,0.028151469855505873,-0.11380717199914103
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies,258.59,257.1,334.64,-0.03063,0.005795410346168595,-0.22725914415491277
ALK,ALK,Alaska Air Group Inc,Industrials,Airlines,63.96,64.59,72.22,-0.00094,-0.009753831862517437,-0.11437274993076707
ALL,ALL,Allstate Corp,Financials,Property & Casualty Insurance,124.43,118.54,125.43,0.00436,0.04968786907373035,-0.0079725743442558
ALLE,ALLE,Allegion,Industrials,Building Products,134.04,129.32,137.05,0.01231,0.03649860810392824,-0.021962787303903775
ALXN,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,100.6,99.39,141.86,-0.03306,0.012174263004326225,-0.2908501339348655
AMAT,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,61.715,57.99,64.93,-0.02334,0.06423521296775303,-0.049514862159248496
AMCR,AMCR,Amcor plc,Materials,Paper Packaging,10.82,10.59,11.77,-0.01726,0.02171860245514634,-0.08071367884451985
AMD,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,49.725,47,52.81,0.00821,0.05797872340425525,-0.05841696648362049
AME,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,98.3,97.15,102.31,-0.00385,0.011837364899639713,-0.0391946046329783
AMGN,AMGN,Amgen Inc.,Health Care,Biotechnology,229.29,216.05,244.99,-0.00933,0.061282110622540964,-0.06408424833666682
AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,175.32,165.41,177.51,-0.00335,0.05991173447796383,-0.012337333107993897
AMT,AMT,American Tower Corp.,Real Estate,Specialized REITs,238.75,231.74,242,0.00395,0.030249417450591176,-0.013429752066115741
AMZN,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,2080.34,2008.72,2080.34,0.01469,0.03565454617866104,0.0
ANET,ANET,Arista Networks,Information Technology,Communications Equipment,231.77,223.34,331.27,-0.00323,0.03774514193606171,-0.3003592235940471
ANSS,ANSS,ANSYS,Information Technology,Application Software,284.91,274.33,293.43,-0.00339,0.03856668975321709,-0.02903588590123707
ANTM,ANTM,Anthem,Health Care,Managed Health Care,276.48,265.28,317.99,-0.02072,0.04221954161640551,-0.13053869618541458
AON,AON,Aon plc,Financials,Insurance Brokers,230.13,220.25,230.13,0.00231,0.04485811577752541,0.0
AOS,AOS,A.O. Smith Corp,Industrials,Building Products,41.99,42.69,56.66,-0.03025,-0.016397282736003604,-0.25891281327214954
APA,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,28.11,27.44,38.12,-0.02868,0.02441690962099119,-0.26259181532004194
APD,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,249.92,238.71,251.62,-0.00454,0.04696074735034128,-0.006756219696367638
APH,APH,Amphenol Corp,Information Technology,Electronic Components,103.36,99.47,110.24,-0.00577,0.03910726852317281,-0.062409288824383125
APTV,APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,87.13,84.79,99.04,-0.01258,0.027597594055902785,-0.12025444264943463
ARE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,167.55,163.2,169.85,-0.00173,0.026654411764706065,-0.013541360023550109
ARNC,ARNC,Arconic Inc.,Industrials,Aerospace & Defense,31.3,29.95,31.99,-0.00318,0.04507512520868118,-0.02156924038762109
ATO,ATO,Atmos Energy Corp,Utilities,Gas Utilities,117.59,117.03,119.2,-0.00059,0.0047850978381611675,-0.013506711409395966
ATVI,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,61.52,58.48,61.9,0.02091,0.051983584131326976,-0.006138933764135657
AVB,AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,219.17,216.69,222.87,0.00018,0.011444921316165813,-0.01660160631758434
AVGO,AVGO,Broadcom Inc.,Information Technology,Semiconductors,315.4,305.16,331.58,-0.01342,0.033556167256521,-0.048796670486760396
AVY,AVY,Avery Dennison Corp,Materials,Paper Packaging,136.24,131.24,141.09,-0.01908,0.038098140810728376,-0.03437522148982919
AWK,AWK,American Water Works Company Inc,Utilities,Water Utilities,134.45,136.2,137.73,-0.00407,-0.01284875183553602,-0.023814709939737222
AXP,AXP,American Express Co,Financials,Consumer Finance,131.82,129.87,138.13,-0.01073,0.01501501501501501,-0.04568160428581769
AZO,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,1058.91,1057.96,1274.41,-0.0032,0.0008979545540475087,-0.16909785704757496
BA,BA,Boeing Company,Industrials,Aerospace & Defense,336.75,318.27,446.01,-0.01371,0.058063908002639275,-0.24497208582767205
BAC,BAC,Bank of America Corp,Financials,Diversified Banks,34.61,32.83,35.72,-0.00173,0.05421870240633564,-0.031075027995520754
BAX,BAX,Baxter International Inc.,Health Care,Health Care Equipment,91.25,89.22,95,-0.02197,0.022752746021071468,-0.03947368421052633
BBY,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,87.02,84.69,91.83,-0.01828,0.027512102963750174,-0.05237939671131442
BDX,BDX,Becton Dickinson,Health Care,Health Care Equipment,246.91,275.18,286.72,-0.02117,-0.10273275674104221,-0.1388462611607144
BEN,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,25.6,25.3,35.82,-0.0184,0.011857707509881354,-0.2853154662199888
BF.B,BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,68.8,67.64,72.85,-0.00664,0.01714961561206385,-0.055593685655456415
BIIB,BIIB,Biogen Inc.,Health Care,Biotechnology,338.83,268.85,374.99,0.00471,0.2602938441510134,-0.0964292381130164
BK,BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,47.25,44.78,54.27,-0.0061,0.05515855292541305,-0.12935323383084585
BKNG,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,1907.85,1830.55,2094,-0.02705,0.04222774575947108,-0.08889684813753584
BKR,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,22.45,21.66,28.65,0.0099,0.036472760849492136,-0.21640488656195456
BLK,BLK,BlackRock,Financials,Asset Management & Custody Banks,555.74,527.35,555.74,0.00193,0.05383521380487344,0.0
BLL,BLL,Ball Corp,Materials,Metal & Glass Containers,76.92,72.18,82.82,-0.01385,0.06566916043225257,-0.07123883120019314
BMY,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,66.25,62.95,68.34,-0.01267,0.052422557585385166,-0.030582382206614023
BR,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,117.85,119.15,136.99,-0.0157,-0.010910616869492351,-0.13971822760785468
BRK.B,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,227.38,224.43,231.61,-0.00971,0.013144410283830066,-0.01826346012693758
BSX,BSX,Boston Scientific,Health Care,Health Care Equipment,42.19,41.87,46.62,-0.01907,0.007642703606400847,-0.09502359502359503
BWA,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,33.57,34.29,46.6,-0.00563,-0.02099737532808399,-0.2796137339055794
BXP,BXP,Boston Properties,Real Estate,Office REITs,142.71,143.35,146.07,-0.01157,-0.0044645971398673545,-0.023002669952762234
C,C,Citigroup Inc.,Financials,Diversified Banks,78.69,74.41,83.11,-0.00355,0.057519150651794027,-0.053182529178197546
CAG,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,31.95,32.92,35.59,-0.00436,-0.02946537059538279,-0.10227592020230414
CAH,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,58.24,51.21,59.8,-0.00034,0.13727787541495795,-0.02608695652173909
CAT,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,133.37,131.35,150.55,-0.02827,0.01537875904073105,-0.11411491198937229
CB,CB,Chubb Limited,Financials,Property & Casualty Insurance,162.73,151.99,167.74,-0.003,0.07066254358839386,-0.029867652319065296
CBOE,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,122.54,123.22,127.93,-0.04213,-0.005518584645349711,-0.042132416165090336
CBRE,CBRE,CBRE Group,Real Estate,Real Estate Services,64.03,61.05,64.61,0.00235,0.04881244881244884,-0.008976938554403291
CCI,CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,150.49,149.84,151.97,-7e-05,0.004337960491190618,-0.009738764229782149
CCL,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",42.2,43.53,59.24,-0.03609,-0.030553641167011203,-0.287643484132343
CDNS,CDNS,Cadence Design Systems,Information Technology,Application Software,73.54,72.11,77.08,-0.01342,0.019830814034114574,-0.04592631032693295
CDW,CDW,CDW,Information Technology,Technology Distributors,132.67,130.45,146.09,-0.01463,0.017018014564967432,-0.09186118146348154
CE,CE,Celanese,Materials,Specialty Chemicals,108.59,103.5,128.88,-0.00795,0.04917874396135269,-0.15743327126008688
CERN,CERN,Cerner,Health Care,Health Care Technology,78.98,71.83,80.9,0.00038,0.09954058192955606,-0.023733003708281797
CF,CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,42.17,40.28,55.15,-0.00189,0.04692154915590874,-0.2353581142339075
CFG,CFG,Citizens Financial Group,Financials,Regional Banks,38.42,37.28,41.29,-0.00775,0.030579399141630992,-0.06950835553402757
CHD,CHD,Church & Dwight,Consumer Staples,Household Products,74.49,74.22,80.99,0.00717,0.003637833468067786,-0.0802568218298555
CHRW,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,74.37,72.22,92.72,0.01074,0.029770146773747008,-0.1979076790336496
CHTR,CHTR,Charter Communications,Communication Services,Cable & Satellite,525,517.46,537.54,-0.00296,0.014571174583542623,-0.023328496483982497
CI,CI,CIGNA Corp.,Health Care,Managed Health Care,208.92,192.38,216.18,-0.01388,0.0859756731468968,-0.03358312517346662
CINF,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,112.84,104.95,118.19,0,0.07517865650309674,-0.04526609696251793
CL,CL,Colgate-Palmolive,Consumer Staples,Household Products,76.03,73.78,76.6,-0.00367,0.03049606939550009,-0.007441253263707481
CLX,CLX,The Clorox Company,Consumer Staples,Household Products,166.23,157.31,167.39,0.00703,0.056703324645604125,-0.006929924129278953
CMA,CMA,Comerica Inc.,Financials,Diversified Banks,62.06,61.16,88.96,-0.01912,0.014715500327011188,-0.3023830935251798
CMCSA,CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,44.745,43.19,47.74,0.00325,0.03600370456124091,-0.062735651445329
CME,CME,CME Group Inc.,Financials,Financial Exchanges & Data,213.16,217.11,224.91,0.00249,-0.01819354244392246,-0.05224311947001026
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,864.22,866.76,893.02,0.00842,-0.0029304536434537898,-0.03225011757855367
CMI,CMI,Cummins Inc.,Industrials,Industrial Machinery,160.8,159.97,186.73,-0.03103,0.00518847283865731,-0.1388635998500508
CMS,CMS,CMS Energy,Utilities,Multi-Utilities,67.14,68.51,68.98,-0.00267,-0.019997080718143434,-0.026674398376341002
CNC,CNC,Centene Corporation,Health Care,Managed Health Care,63.16,62.81,68.64,-0.01849,0.00557236108899839,-0.07983682983682994
CNP,CNP,CenterPoint Energy,Utilities,Multi-Utilities,26.72,26.48,31.42,-0.00521,0.009063444108761365,-0.14958625079567167
COF,COF,Capital One Financial,Financials,Consumer Finance,101.8,99.8,107.59,-0.0128,0.02004008016032066,-0.053815410354122184
COG,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,14.64,14.09,27.65,-0.0088,0.039034776437189445,-0.47052441229656417
COO,COO,The Cooper Companies,Health Care,Health Care Supplies,348.2,346.89,365.68,-0.01365,0.0037764132722188926,-0.04780135637716043
COP,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,57.99,59.43,71.01,-0.00719,-0.0242301867743564,-0.18335445711871567
COST,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,313.72,305.52,314.28,0.01001,0.026839486776643273,-0.0017818505791012962
COTY,COTY,"Coty, Inc",Consumer Staples,Personal Products,12.03,10.26,14.14,-0.00496,0.17251461988304095,-0.14922206506364932
CPB,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,48.88,48.39,49.56,0.01495,0.010126059103120477,-0.013720742534301889
CPRI,CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",30.5,29.96,50,-0.0268,0.018024032042723626,-0.39
CPRT,CPRT,Copart Inc,Industrials,Diversified Support Services,102.6,101.46,104.1,-0.0034,0.011235955056179803,-0.014409221902017322
CRM,CRM,Salesforce.com,Information Technology,Application Software,185.72,182.31,190.55,-0.00541,0.01870440458559597,-0.025347677774862354
CSCO,CSCO,Cisco Systems,Information Technology,Communications Equipment,47.995,45.97,58.26,-0.01427,0.04405046769632359,-0.17619292825266053
CSX,CSX,CSX Corp.,Industrials,Railroads,77.88,76.34,80.73,-0.00562,0.020172910662824117,-0.035302861389817974
CTAS,CTAS,Cintas Corporation,Industrials,Diversified Support Services,291.65,278.97,294.74,-0.00681,0.04545291608416657,-0.010483816244826083
CTL,CTL,CenturyLink Inc,Communication Services,Alternative Carriers,14.53,13.66,15.29,0.00207,0.06368960468521223,-0.04970568999345981
CTSH,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,69.615,61.38,74.85,-0.02527,0.13416422287390017,-0.06993987975951899
CTVA,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,31.04,28.92,32.78,-0.01741,0.07330567081604422,-0.05308114704087863
CTXS,CTXS,Citrix Systems,Information Technology,Application Software,121.12,121.22,130.55,-0.00908,-0.0008249463784854028,-0.07223286097280734
CVS,CVS,CVS Health,Health Care,Health Care Services,71.56,67.82,77.03,0.01016,0.055145974638749706,-0.07101129430092168
CVX,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,108.94,107.14,127.34,-0.00502,0.016800448011947022,-0.14449505261504636
CXO,CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,79.09,75.78,124.53,-0.01703,0.04367907099498547,-0.36489199389705285
D,D,Dominion Energy,Utilities,Electric Utilities,84.81,85.75,86.69,-0.00539,-0.010962099125364388,-0.021686469027569433
DAL,DAL,Delta Air Lines Inc.,Industrials,Airlines,57.92,55.74,63.44,-0.00447,0.03911015428776454,-0.08701134930643117
DD,DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,52.55,51.18,170.46,-0.02342,0.026768268855021482,-0.691716531737651
DE,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,167.45,158.58,180.48,-0.00835,0.05593391348215393,-0.07219636524822692
DFS,DFS,Discover Financial Services,Financials,Consumer Finance,75.29,75.13,92.98,-0.01388,0.002129641953946715,-0.19025596902559683
DG,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,154.97,153.41,166.98,-0.00322,0.010168828629163684,-0.07192478141094738
DGX,DGX,Quest Diagnostics,Health Care,Health Care Services,111.45,110.67,113,-0.00215,0.007047980482515648,-0.013716814159292046
DHI,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,60.7,59.2,61.77,0.00455,0.02533783783783794,-0.017322324753116458
DHR,DHR,Danaher Corp.,Health Care,Health Care Equipment,161.99,160.87,169.19,-0.01214,0.006962143345558447,-0.042555706602044996
DIS,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,141.02,138.31,153.41,-0.01177,0.019593666401561682,-0.08076396584316525
DISCA,DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,29.785,29.26,33.66,-0.00882,0.01794258373205726,-0.11512180629827684
DISCK,DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,28.335,27.77,31.2,-0.00718,0.020345696795102786,-0.09182692307692308
DISH,DISH,Dish Network,Communication Services,Cable & Satellite,36.785,36.76,44.48,-0.00312,0.0006800870511425305,-0.17299910071942448
DLR,DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,123.28,122.99,136.32,-0.00597,0.002357915277664935,-0.09565727699530513
DLTR,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,87.17,87.07,119.71,-0.00876,0.0011485012059264665,-0.2718235736362876
DOV,DOV,Dover Corp.,Industrials,Industrial Machinery,117.31,113.85,120.2,-0.00778,0.03039086517347389,-0.0240432612312812
DOW,DOW,Dow Inc.,Materials,Commodity Chemicals,48.03,46.07,60.52,-0.02378,0.04254395485131335,-0.20637805684071386
DRE,DRE,Duke Realty Corp,Real Estate,Industrial REITs,36.63,36.31,36.91,-0.00327,0.00881299917378131,-0.007586020048767073
DRI,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,120.71,116.43,128.41,-0.0065,0.036760285149875394,-0.059964177244762884
DTE,DTE,DTE Energy Co.,Utilities,Multi-Utilities,133.61,132.61,135.51,-0.00447,0.0075409094336778,-0.014021105453471905
DUK,DUK,Duke Energy,Utilities,Electric Utilities,96.27,97.63,98.05,-0.00681,-0.013930144422820812,-0.018154003059663415
DVA,DVA,DaVita Inc.,Health Care,Health Care Facilities,81.34,79.87,85.59,-0.02083,0.018404907975460016,-0.049655333567005466
DVN,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,22.97,21.72,35.39,-0.00692,0.057550644567219145,-0.3509465950833569
DXC,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,32.7,31.88,69.45,-0.05573,0.025721455457967446,-0.5291576673866091
EA,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,109.13,107.92,114.13,-0.00791,0.011212008895478132,-0.04380969070358365
EBAY,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,36.165,33.56,42,-0.04829,0.07762216924910592,-0.1389285714285714
ECL,ECL,Ecolab Inc.,Materials,Specialty Chemicals,205.64,196.11,209.87,-0.0071,0.048595176176635446,-0.020155334254538637
ED,ED,Consolidated Edison,Utilities,Electric Utilities,92.78,94,95.1,-0.00738,-0.012978723404255321,-0.024395373291272282
EFX,EFX,Equifax Inc.,Industrials,Research & Consulting Services,155.61,149.9,157.09,-0.00231,0.038092061374249475,-0.009421350818002328
EIX,EIX,Edison Int'l,Utilities,Electric Utilities,77,76.55,78.49,0.00931,0.005878510777269863,-0.018983309975793006
EL,EL,Estee Lauder Cos.,Consumer Staples,Personal Products,208.96,195.16,220.42,-0.01215,0.07071121131379376,-0.05199165230015412
EMN,EMN,Eastman Chemical,Materials,Diversified Chemicals,72.38,71.27,86.18,-0.0207,0.015574575557738113,-0.16012996054769102
EMR,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,73.77,71.63,78.38,-0.01967,0.02987575038391732,-0.05881602449604495
EOG,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,74.35,72.91,107.89,-0.02003,0.01975037717734196,-0.3108721846324961
EQIX,EQIX,Equinix,Real Estate,Specialized REITs,605.61,589.73,609.97,0.00311,0.02692757702677495,-0.007147892519304255
EQR,EQR,Equity Residential,Real Estate,Residential REITs,84.2,83.08,89.55,0.00393,0.013480982185845036,-0.05974316024567272
ES,ES,Eversource Energy,Utilities,Multi-Utilities,90.58,92.44,93.56,-0.00319,-0.020121159671138034,-0.0318512184694314
ESS,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,314.79,309.76,334.17,0.00016,0.016238378099173723,-0.05799443397073345
ETFC,ETFC,E*Trade,Financials,Investment Banking & Brokerage,43.62,42.62,52.35,-0.00023,0.023463162834350015,-0.1667621776504299
ETN,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,101.96,94.47,103.5,-0.00507,0.0792844289192336,-0.014879227053140154
ETR,ETR,Entergy Corp.,Utilities,Electric Utilities,131.94,131.52,132.88,0.00403,0.0031934306569341153,-0.007074051776038481
