Symbol,Symbol,Security,GICS_Sector,GICS_Sub_Industry,latestPrice,lastweekPrice,week52High,pct_change1D,pct_change1W,pct_changeFrom1YHigh
NI,NI,NiSource Inc.,Utilities,Multi-Utilities,29.8,29.31,30.67,-0.00168,0.016717843739338267,-0.028366481904140928
NKE,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",99.44,96.3,105.62,-0.00828,0.032606438213914846,-0.05851164552168153
NLOK,NLOK,NortonLifeLock,Information Technology,Application Software,19.72,28.42,28.7,0.11982,-0.30612244897959195,-0.31289198606271784
NLSN,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,21.29,20.4,27.57,0.00425,0.043627450980392224,-0.2277838229960102
NOC,NOC,Northrop Grumman,Industrials,Aerospace & Defense,361.42,374.57,385.01,-0.00641,-0.03510692260458659,-0.061271135814654154
NOV,NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,24.18,20.61,32.63,0.10461,0.17321688500727794,-0.2589641434262949
NOW,NOW,ServiceNow,Information Technology,Systems Software,341.06,338.23,355.99,-0.00187,0.008367087484847602,-0.041939380319671926
NRG,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,37.88,36.89,43.66,0.00132,0.02683654106804023,-0.13238662391204747
NSC,NSC,Norfolk Southern Corp.,Industrials,Railroads,210.18,208.21,219.88,-0.01175,0.009461601267950703,-0.04411497180280144
NTAP,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",57.3,53.4,78.35,-0.01462,0.0730337078651686,-0.26866624122527116
NTRS,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,101.27,97.81,110.48,-0.01344,0.03537470606277471,-0.08336350470673437
NUE,NUE,Nucor Corp.,Materials,Steel,47.92,47.49,62.12,-0.02304,0.009054537797430928,-0.2285898261429491
NVDA,NVDA,Nvidia Corporation,Information Technology,Semiconductors,251.68,236.43,259.5,-0.01011,0.06450112083914905,-0.03013487475915222
NVR,NVR,NVR Inc,Consumer Discretionary,Homebuilding,3921.63,3816.97,4058,0.00892,0.027419654857125053,-0.03360522424839818
NWL,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,20.06,19.53,22.06,-0.00791,0.027137736815155966,-0.09066183136899364
NWS,NWS,News Corp. Class B,Communication Services,Publishing,14.445,13.97,15.36,-0.02001,0.034001431639226976,-0.0595703125
NWSA,NWSA,News Corp. Class A,Communication Services,Publishing,14.19,13.62,15.07,-0.01935,0.04185022026431717,-0.058394160583941646
O,O,Realty Income Corporation,Real Estate,Retail REITs,79.51,78.41,82.17,0.00455,0.014028822854227796,-0.03237191188998412
ODFL,ODFL,Old Dominion Freight Line,Industrials,Trucking,220.59,196.23,220.59,0.01258,0.12414003974927379,0.0
OKE,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,75.36,74.87,77.26,-0.00646,0.006544677440897484,-0.02459228578824757
OMC,OMC,Omnicom Group,Communication Services,Advertising,75.74,75.31,85.05,-0.0111,0.005709733103173464,-0.10946502057613172
ORCL,ORCL,Oracle Corp.,Information Technology,Application Software,54.72,52.45,60.5,0.00018,0.043279313632030414,-0.09553719008264461
ORLY,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,387.68,406.1,454.31,-0.02625,-0.04535828613641968,-0.1466619709009267
OXY,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,41.89,39.72,68.83,-0.00546,0.054632426988922456,-0.39139909922998695
PAYC,PAYC,Paycom,Information Technology,Application Software,293.53,318.16,342,0.0097,-0.07741387980890135,-0.14172514619883048
PAYX,PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,87.99,85.77,89.96,-0.0052,0.02588317593564171,-0.021898621609604207
PBCT,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,15.935,15.42,18.03,-0.01086,0.033398184176394397,-0.11619523017193567
PCAR,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,75.415,74.21,83.41,-0.02803,0.016237703813502424,-0.09585181632897721
PEAK,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,36.31,35.99,37.93,-0.00028,0.008891358710753083,-0.04271025573424725
PEG,PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,57.7,59.2,63.88,-0.0108,-0.02533783783783783,-0.09674389480275514
PEP,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,145.46,142.02,145.46,0.00783,0.024221940571750533,0.0
PFE,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,38.05,37.24,44.56,-0.00549,0.021750805585391886,-0.1460951526032317
PFG,PFG,Principal Financial Group,Financials,Life & Health Insurance,55.58,52.95,60.81,-0.00962,0.049669499527856376,-0.08600559118566031
PG,PG,Procter & Gamble,Consumer Staples,Personal Products,126.08,124.62,128.09,-0.00834,0.011715615471031837,-0.015692091498165417
PGR,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,83.26,80.69,84.96,0.00241,0.031850291238071815,-0.020009416195856722
PH,PH,Parker-Hannifin,Industrials,Industrial Machinery,207.82,195.69,212.05,-0.00967,0.06198579385763203,-0.019948125442112774
PHM,PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,46.1,44.65,47.3,0.01341,0.03247480403135494,-0.025369978858350906
PKG,PKG,Packaging Corporation of America,Materials,Paper Packaging,101.38,95.75,114.78,-0.02828,0.058798955613577064,-0.11674507753964114
PKI,PKI,PerkinElmer,Health Care,Health Care Equipment,93.07,92.48,103,-0.02646,0.006379757785466955,-0.0964077669902913
PLD,PLD,Prologis,Real Estate,Industrial REITs,93.14,92.88,96.96,0.00032,0.002799310938845778,-0.03939768976897684
PM,PM,Philip Morris International,Consumer Staples,Tobacco,87.45,82.7,92.74,0.01474,0.05743651753325274,-0.05704119042484357
PNC,PNC,PNC Financial Services,Financials,Regional Banks,153.35,148.55,161.79,0.00327,0.03231235274318389,-0.052166388528339214
PNR,PNR,Pentair plc,Industrials,Industrial Machinery,43.64,42.93,47.43,-0.01601,0.016538551129746226,-0.07990723170988823
PNW,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,98.06,97.69,99.81,0.00071,0.0037874910430955033,-0.017533313295260977
PPG,PPG,PPG Industries,Materials,Specialty Chemicals,122.61,119.84,134.36,-0.01407,0.02311415220293722,-0.08745162250669847
PPL,PPL,PPL Corp.,Utilities,Electric Utilities,36.02,36.19,36.83,-0.00166,-0.00469743022934499,-0.021992940537605032
PRGO,PRGO,Perrigo,Health Care,Pharmaceuticals,59.91,57.04,60.48,0.01491,0.050315568022440305,-0.009424603174603141
PRU,PRU,Prudential Financial,Financials,Life & Health Insurance,94.67,91.06,106.4,-0.00692,0.03964419064353164,-0.11024436090225564
PSA,PSA,Public Storage,Real Estate,Specialized REITs,225.23,223.76,266.76,0.00536,0.006569538791562302,-0.15568301094616888
PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,90.33,91.37,119.92,0.00122,-0.011382291780672071,-0.24674783188792526
PVH,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",86.45,87.17,134.24,-0.02734,-0.008259722381553258,-0.3560041716328963
PWR,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,38.89,39.15,44.09,-0.00563,-0.006641123882503153,-0.11794057609435249
PXD,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,137.82,135,178.22,-0.01866,0.020888888888888735,-0.22668611828077656
PYPL,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,118.9,113.89,122.19,-0.00826,0.04398981473351493,-0.02692528030117025
QCOM,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,87.43,85.31,96.17,-0.0351,0.024850545070917773,-0.09088073203701774
QRVO,QRVO,Qorvo,Information Technology,Semiconductors,105.14,105.86,122.37,-0.04218,-0.006801435858681315,-0.1408024842690202
RCL,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",111.55,117.08,135.32,-0.04388,-0.047232661428083356,-0.175657700266036
RE,RE,Everest Re Group Ltd.,Financials,Reinsurance,282.58,276.57,284.27,0.00759,0.021730484145062734,-0.0059450522390684934
REG,REG,Regency Centers Corporation,Real Estate,Retail REITs,63.125,62.04,70.26,-0.00606,0.017488716956802097,-0.10155138058639346
REGN,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,381.82,337.94,442,-0.0206,0.12984553471030358,-0.13615384615384618
RF,RF,Regions Financial Corp.,Financials,Regional Banks,16.32,15.57,17.54,-0.00183,0.048169556840077066,-0.06955530216647654
RHI,RHI,Robert Half International,Industrials,Human Resource & Employment Services,59.23,58.17,69.08,-0.01398,0.01822245143544765,-0.1425883034163289
RJF,RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,94.05,91.43,97.66,-0.00381,0.028655802253089613,-0.03696498054474706
RL,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",120.56,113.5,133.63,-0.00708,0.06220264317180613,-0.09780737858265354
RMD,RMD,ResMed,Health Care,Health Care Equipment,171.46,158.97,171.46,0.00557,0.07856828332389765,0.0
ROK,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,202.72,191.66,207.94,-0.01127,0.05770635500365229,-0.02510339521015681
ROL,ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,38.59,37.95,43.91,-0.01581,0.01686429512516474,-0.12115691186517863
ROP,ROP,Roper Technologies,Industrials,Industrial Conglomerates,385.44,381.66,393,0.00104,0.009904103128438813,-0.01923664122137403
ROST,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,117.45,112.19,122.62,-0.00626,0.0468847490863713,-0.04216277931821888
RSG,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,97.14,95.05,97.18,0.00559,0.021988427143608602,-0.0004116073266104969
RTN,RTN,Raytheon Co.,Industrials,Aerospace & Defense,230.61,220.94,233.48,0.0091,0.0437675386982892,-0.012292273428130773
SBAC,SBAC,SBA Communications,Real Estate,Specialized REITs,258.85,249.56,270.42,0.00916,0.03722551690976128,-0.04278529694549216
SBUX,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,86.475,84.83,99.72,0.00377,0.01939172462572203,-0.13282190132370641
SCHW,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,47.31,45.55,51.65,-0.01087,0.03863885839736558,-0.08402710551790893
SEE,SEE,Sealed Air,Materials,Paper Packaging,36.93,35.5,47.13,-0.01467,0.04028169014084515,-0.21642266072565253
SHW,SHW,Sherwin-Williams,Materials,Specialty Chemicals,572.55,556.99,599.95,-0.01607,0.027935869584732043,-0.04567047253937839
SIVB,SIVB,SVB Financial,Financials,Regional Banks,257.15,240.33,270.4,-0.01885,0.0699871010693629,-0.04900147928994081
SJM,SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,108.23,103.61,128.43,0.00427,0.044590290512498854,-0.15728412364712296
SLB,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,34.42,33.51,48.88,-0.00261,0.027156072814085386,-0.2958265139116203
SLG,SLG,SL Green Realty,Real Estate,Office REITs,94.11,92.04,96.39,-0.00149,0.02249022164276404,-0.023653906006847247
SNA,SNA,Snap-on,Industrials,Industrial Machinery,155.74,159.63,174,-0.02699,-0.0243688529724988,-0.10494252873563215
SNPS,SNPS,Synopsys Inc.,Information Technology,Application Software,154.22,147.51,158,-0.00355,0.04548844146159592,-0.023924050632911364
SO,SO,Southern Co.,Utilities,Electric Utilities,68.38,70.4,71.1,-0.00668,-0.028693181818181923,-0.038255977496483795
SPG,SPG,Simon Property Group Inc,Real Estate,Retail REITs,141.02,133.15,186.44,0.00114,0.059106271122793874,-0.24361724951727093
SPGI,SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,295.48,293.73,300.89,-0.00014,0.005957852449528511,-0.017979992688357815
SRE,SRE,Sempra Energy,Utilities,Multi-Utilities,158.59,160.64,161.87,-0.0119,-0.012761454183266796,-0.02026317415209733
STE,STE,STERIS plc,Health Care,Health Care Equipment,152.87,150.69,156.66,-0.00895,0.014466786117194319,-0.024192518830588483
STT,STT,State Street Corp.,Financials,Asset Management & Custody Banks,79.14,75.63,85.89,-0.01408,0.04641015470051579,-0.07858889276982184
STX,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",54.11,56.99,64.17,-0.01904,-0.050535181610808944,-0.15677107682717784
STZ,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,200.34,188.3,214.48,0.0027,0.06394052044609655,-0.06592689295039156
SWK,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,163.05,159.33,173.67,-0.01848,0.02334776878177358,-0.06115045776472605
SWKS,SWKS,Skyworks Solutions,Information Technology,Semiconductors,113.995,113.15,128.48,-0.03131,0.007467962881131163,-0.11274128268991268
SYF,SYF,Synchrony Financial,Financials,Consumer Finance,33.19,32.41,38.18,0,0.024066646096883693,-0.1306966998428497
SYK,SYK,Stryker Corp.,Health Care,Health Care Equipment,214.81,210.7,223.45,-0.01572,0.019506407214048505,-0.03866636831505921
SYY,SYY,Sysco Corp.,Consumer Staples,Food Distributors,77.36,82.14,85.98,0.00966,-0.058193328463598704,-0.10025587345894393
T,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,38.45,37.62,39.7,0.00026,0.02206273258904856,-0.03148614609571787
TAP,TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,57.78,55.58,66.12,0.00487,0.03958258366318823,-0.12613430127041747
TDG,TDG,TransDigm Group,Industrials,Aerospace & Defense,634.54,643.28,673.51,0.0012,-0.013586618579778609,-0.057861056257516585
TEL,TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,93.22,92.18,101,-0.0149,0.011282273812106558,-0.07702970297029699
TFC,TFC,Truist Financial,Financials,Regional Banks,54.27,51.57,56.92,0.00166,0.05235602094240832,-0.046556570625439164
TFX,TFX,Teleflex,Health Care,Health Care Equipment,375.07,371.51,390.22,-0.01662,0.009582514602567871,-0.03882425298549541
TGT,TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,115.61,110.74,130.24,0.00408,0.04397688278851364,-0.11233108108108114
TIF,TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",134.11,134.02,134.39,-7e-05,0.0006715415609610531,-0.00208348835478811
TJX,TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,61.38,59.04,63.03,-0.00712,0.03963414634146356,-0.02617801047120416
TMO,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,326.21,313.19,342.26,-0.01744,0.04157220856349175,-0.046894174019751156
TMUS,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,85.45,79.19,85.45,0.03238,0.07905038514964025,0.0
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",27.97,25.77,36.55,-0.03552,0.08537058595265812,-0.23474692202462377
TROW,TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,138.29,133.53,139.47,0.00377,0.03564742005541821,-0.008460600846060151
TRV,TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,136.01,131.62,155.09,-0.00359,0.03335359367877211,-0.1230253401250887
TSCO,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,96.53,92.95,114.25,-0.00062,0.03851533082302305,-0.15509846827133478
TSN,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,80.35,82.63,94.24,0.00727,-0.027592883940457447,-0.14738964346349748
TTWO,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,112.625,124.64,135.7,-0.11833,-0.09639762516046213,-0.17004421518054524
TWTR,TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,37.03,32.48,45.86,-0.03593,0.14008620689655182,-0.19254252071522016
TXN,TXN,Texas Instruments,Information Technology,Semiconductors,128.71,120.65,135.7,-0.02875,0.06680480729382521,-0.051510685335298345
TXT,TXT,Textron Inc.,Industrials,Aerospace & Defense,50.75,45.93,58,0.00138,0.10494230350533429,-0.125
UA,UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",17.97,17.96,24.55,-0.02337,0.000556792873051215,-0.26802443991853364
UAA,UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",20.25,20.18,27.72,-0.02032,0.003468780971258578,-0.26948051948051943
UAL,UAL,United Airlines Holdings,Industrials,Airlines,79.495,74.8,96.03,-0.01248,0.06276737967914459,-0.17218577527855872
UDR,UDR,"UDR, Inc.",Real Estate,Residential REITs,48.83,47.91,50.61,0.00411,0.01920267167605938,-0.03517091483896462
UHS,UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,138.13,137.11,157.79,-0.02091,0.007439282328057573,-0.12459598200139421
ULTA,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,295.935,267.91,368.83,0.00984,0.10460602441118283,-0.19763847843179783
UNH,UNH,United Health Group Inc.,Health Care,Managed Health Care,289.22,272.45,302.54,-0.01108,0.061552578454762585,-0.04402723606795789
UNM,UNM,Unum Group,Financials,Life & Health Insurance,29.46,26.69,38.29,0.00034,0.10378418883476948,-0.23060851397231652
UNP,UNP,Union Pacific Corp,Industrials,Railroads,183.83,179.42,188.96,-0.01225,0.024579199643295135,-0.027148602878916184
UPS,UPS,United Parcel Service,Industrials,Air Freight & Logistics,103.12,103.52,125.31,-0.03183,-0.00386398763523943,-0.17708083951799536
URI,URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,149.75,135.69,170.04,-0.01874,0.10361854226545808,-0.11932486473770876
USB,USB,U.S. Bancorp,Financials,Diversified Banks,54.62,53.22,61.11,-0.00328,0.02630590003757982,-0.10620193094419905
UTX,UTX,United Technologies,Industrials,Aerospace & Defense,156.83,150.2,156.83,0.00403,0.04414114513981371,0.0
V,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,202.74,198.97,210.13,-0.00148,0.018947580037191658,-0.035168705087326835
VAR,VAR,Varian Medical Systems,Health Care,Health Care Equipment,140.81,140.57,150.06,-0.01158,0.0017073344241302912,-0.061642009862721614
VFC,VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",82.96,82.97,100.25,-0.01332,-0.00012052549114138777,-0.1724688279301746
VIAC,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,34.705,34.13,53.71,0.00303,0.01684734837386448,-0.3538447216533235
VLO,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,84.04,84.31,101.99,0.00925,-0.00320246708575489,-0.17599764682812025
VMC,VMC,Vulcan Materials,Materials,Construction Materials,147.72,141.63,152.49,0.00469,0.042999364541410845,-0.031280739720637496
VNO,VNO,Vornado Realty Trust,Real Estate,Office REITs,66.34,65.77,70.54,-0.00525,0.008666565303329987,-0.05954068613552599
VRSK,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,169.18,162.47,169.9,0.00136,0.04129993229519302,-0.004237786933490306
VRSN,VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,205,208.14,221.78,-0.05504,-0.015085999807821548,-0.07566056452340153
VRTX,VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,239.99,227.05,244.65,0.00364,0.05699185201497459,-0.01904761904761898
VTR,VTR,Ventas Inc,Real Estate,Health Care REITs,58.94,57.86,75.4,0.00136,0.018665744901486425,-0.21830238726790463
VZ,VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,59.94,59.44,62.22,0.00841,0.00841184387617755,-0.03664416586306651
WAB,WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,77.43,73.86,81.75,-0.03418,0.04833468724614143,-0.052844036697247576
WAT,WAT,Waters Corporation,Health Care,Health Care Distributors,217.36,223.79,255.21,-0.0124,-0.028732293668170983,-0.1483092355315231
WBA,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,53.29,50.85,74.95,-0.00374,0.04798426745329398,-0.28899266177451644
WDC,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",67.05,65.5,72,-0.02402,0.023664122137404542,-0.06875000000000009
WEC,WEC,Wec Energy Group Inc,Utilities,Electric Utilities,99.75,99.89,101.37,-0.0015,-0.0014015416958654825,-0.015981059485054794
WELL,WELL,Welltower Inc.,Real Estate,Health Care REITs,84.13,84.91,93.17,-0.00638,-0.009186197149923414,-0.09702694000214673
WFC,WFC,Wells Fargo,Financials,Diversified Banks,47.84,46.94,54.75,-0.00292,0.019173412867490525,-0.12621004566210037
WHR,WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,149.21,146.17,163.64,-0.02515,0.02079770130669778,-0.08818137374724999
WLTW,WLTW,Willis Towers Watson,Financials,Insurance Brokers,210.265,211.29,220.97,0.00653,-0.004851152444507623,-0.04844549033805501
WM,WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,123.91,121.7,124.14,0.00137,0.018159408381265285,-0.0018527468986628826
WMB,WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,21.06,20.69,29.55,-0.01772,0.017883035282745263,-0.2873096446700508
WMT,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,116.45,114.49,125.38,0.0012,0.01711939907415494,-0.07122348061891848
WRB,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,77.81,73.53,77.81,0.00816,0.05820753433972525,0.0
WRK,WRK,WestRock,Materials,Paper Packaging,41.22,39,44.39,-0.0108,0.056923076923076854,-0.07141248028835323
WU,WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,27.65,26.9,28.25,-0.01144,0.027881040892193232,-0.0212389380530974
WY,WY,Weyerhaeuser,Real Estate,Specialized REITs,28.58,28.95,31.58,-0.00244,-0.012780656303972404,-0.09499683343888543
WYNN,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,126.91,126.16,153.41,-0.05425,0.005944831959416641,-0.17273971709797276
XEC,XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,43.06,43.89,76.74,-0.01487,-0.018910913647755767,-0.4388845452176179
XEL,XEL,Xcel Energy Inc,Utilities,Multi-Utilities,68.71,69.19,69.82,-0.00851,-0.006937418702124609,-0.015898023488971624
XLNX,XLNX,Xilinx,Information Technology,Semiconductors,85.59,84.48,141.6,-0.02428,0.013139204545454586,-0.39555084745762703
XOM,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,61.47,62.12,83.49,-0.00663,-0.010463618802318053,-0.26374416097736253
XRAY,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,57.07,56,60.87,-0.0092,0.019107142857142767,-0.062428125513389165
XRX,XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",37.17,35.57,39.47,-0.01354,0.044981726173741965,-0.058272105396503626
XYL,XYL,Xylem Inc.,Industrials,Industrial Machinery,84.2,81.66,87.7,0.01299,0.031104579965711476,-0.039908779931584926
YUM,YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,102.04,105.77,119.72,-0.01639,-0.035265198071286696,-0.1476779151353157
ZBH,ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,156.39,147.9,159.79,-0.01648,0.057403651115618626,-0.021277927279554465
ZBRA,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,247.425,239.02,260.4,-0.01851,0.03516442138733167,-0.04982718894009208
ZION,ZION,Zions Bancorp,Financials,Regional Banks,46.24,45.49,52.48,-0.01638,0.016487140030776004,-0.11890243902439013
ZTS,ZTS,Zoetis,Health Care,Pharmaceuticals,138.9,134.21,143.33,-0.0005,0.03494523507935332,-0.030907695527803036
