Symbol,Security,GICS_Sector,GICS_Sub_Industry,Headquarters_Location,Date_first_added,CIK,Founded
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1090872,1999
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,1934
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1158449,1932
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,320193,1977
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888)
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1140859,1985
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,815094,1981
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,1989
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,6281,1965
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/1981,7084,1902
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/1981,8670,
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,1101215,1996
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397,
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1002910,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977,1955
AGN,"Allergan, plc",Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/1999,1578845,1983
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,5272,1919
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,922864,1994 (1975)
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",4/10/2007,1267238,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,354190,
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1086222,1998
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,915913,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,1097149,1997
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/2016,766421,1985
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,899051,1931
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,1908
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",5/25/2012,899866,1992
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,6951,1967
AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,1748790,2019 (1860)
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,2488,1969
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1037868,1930
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154,1980
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,820027,1894
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1053507,1995
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724,1994
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,1596532,2004
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1013462,1969
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,1156039,2014 (1940s)
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,315293,1982 (1919)
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,6769,1954
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969,1940
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313,1932
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1521332,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1035443,1994
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",3/31/1964,4281,2016
ATO,Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,731802,1906
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,718877,2008
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/2007,915912,
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1730168,
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/1987,8818,
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1410636,1886
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/1976,4962,1850
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,866787,
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,70858,
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,10456,1931
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,764478,
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,10795,1897
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,14693,
BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,875045,
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,1390777,
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1075531,
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,1701605,2017
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1364742,
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,9389,
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",,14272,1989
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1383312,1962
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1067983,
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/1995,885725,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,908255,
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1037540,
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",5/31/1988,831001,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,23217,
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,721371,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,18230,1925
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,896159,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1374310,
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",11/10/2006,1138118,
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1051470,
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,815097,
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1402057,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1306830,1918
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/2010,804753,
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1324404,
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,759944,
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,313927,
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1043277,
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1091667,
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,701221,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,20286,
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",,21665,1806
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076,1913
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,28412,
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/2015,1166691,
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1156375,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1058090,
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,26172,1919
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,811156,
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,1071739,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1130310,
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,927628,1935
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,858470,
COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,711404,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,909832,
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",10/3/2016,1024305,
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/2013,1530721,
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,900075,
CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",9/15/2008,1108524,
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,858877,
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,277948,1980
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,723254,
CTL,CenturyLink Inc,Communication Services,Alternative Carriers,"Monroe, Louisiana",3/25/1999,18926,
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1058290,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/2019,1755672,2019
CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/1999,877890,
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,1996
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/2016,1358071,
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,27904,
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",,1666700,2017
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1837
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1393612,
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,29534,
DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey",12/12/2002,1022079,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1001039,
DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,1437107,
DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/2014,1437107,
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1001082,
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,1297996,
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,935703,
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,29905,
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,1751788,2019
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,783280,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,927066,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1090012,
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,1688568,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,712515,
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,31462,
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862,1823
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,33185,
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,827052,1886
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1/5/2006,1001250,
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,32604,1890
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,821189,
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1101239,
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,906107,
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,1966
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",4/2/2014,920522,
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",3/31/2004,1015780,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,1913
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1711269,1909
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1099800,
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357,2000
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",10/2/2007,1324424,
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,1289490,
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,1903
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,1539838,2007
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",9/15/2009,815556,
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,1326801,
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",6/22/2016,1519751,
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,831259,1912
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1048911,
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1048695,1996
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/2006,1136893,
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,798354,
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/2009,354908,
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",10/2/2008,30625,
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",6/20/2018,1175454,2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,37785,
FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,"New York, New York",9/18/2015,1308161,
FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,1308161,
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/2019,1132979,1985
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,34903,
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",6/5/2009,1681459,
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,1262039,2000
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,1659166,
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,882095,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,40704,1856
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,320335,
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,24741,1851
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858,
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1652044,1998
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1652044,1998
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,40987,1925
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,1123360,
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,39911,
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",7/22/2002,886982,
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/1981,277135,
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,1919
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,46080,
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,49196,1866
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/2015,1359841,
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,860730,
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,354950,
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,4447,
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/2018,48039,
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,1501585,
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,1585689,
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952,1903
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,859737,
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",3/31/1964,773840,1906
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",3/1/2010,46765,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/2015,1645590,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,47217,1939 (2015)
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/1986,12659,
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,48465,
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1000228,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,1070750,
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111,1894
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143,1911
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007,1571949,
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,874716,
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,832101,1988
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",3/31/1976,51253,
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1110803,
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,879169,
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,1598014,
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,50863,
INTU,Intuit Inc.,Information Technology,Application Software,"Mountain View, California",12/5/2000,896878,
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",,51434,1898
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",10/1/1992,51644,
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/2018,1111928,
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/2017,1478242,
